timestep	temperature	potential_energy	kinetic_energy	bond_harmonic_energy	pppm_energy	pair_lj_energy	angle_harmonic_energy	volume	pressure
0	0	908615.6025	0	24618.38887	-129747.3141	166713.2071	717189.4135	512	743.9407512
100	44.43017656	210499.8257	399804.9438	88545.48328	-129465.3803	-3234.642161	127557.2309	512	-344.3664871
200	13.84946438	118173.7995	124624.4052	86210.24949	-129559.6237	-5165.842164	46725.05538	512	706.1307282
300	6.188014155	17536.71013	55682.84537	21962.35497	-129656.4227	-3966.980131	18779.40441	512	-170.6690043
400	1.973148939	-13040.32661	17755.38073	6572.766276	-129681.6533	-2119.637062	11920.42014	512	-53.11461152
500	1.381427246	-33849.87514	12430.77308	4177.488261	-129682.7816	-564.4576919	2090.295729	512	-4.043354812
600	0.5643535504	-37588.72286	5078.335423	6981.907803	-129682.9841	636.4525276	1242.395962	512	-15.89018469
700	0.4085164342	-47637.77282	3676.035133	1495.920552	-129692.2867	1517.806501	690.9809449	512	-17.15285023
800	0.2217311883	-51080.55641	1995.248098	1814.190484	-129685.9437	2223.39072	415.9110349	512	-21.92858784
900	0.1709043922	-54278.94507	1537.883173	1563.998113	-129684.793	2596.890593	338.7863877	512	-16.05409041
1000	0.1379335305	-56397.87048	1241.194874	1589.449616	-129685.1388	2848.651304	275.1720129	512	-19.69967683
1100	0.115344181	-58129.82891	1037.924613	1612.767168	-129686.2461	3216.000081	274.1706167	512	-18.88910883
1200	0.09674327098	-59386.83043	870.5443239	1656.099922	-129686.6616	3453.047718	273.0525204	512	-16.70202528
1300	0.08835178793	-60484.63164	795.0335636	1699.461398	-129685.5951	3574.904696	262.7286435	512	-16.68447357
1400	0.07703874192	-61587.73588	693.2331191	1746.843701	-129686.4327	3808.165477	261.203214	512	-16.33777552
1500	0.07377416599	-62482.56343	663.8568327	1781.960713	-129687.3492	3908.546595	269.4877135	512	-16.01003622
1600	0.0713205885	-63313.73843	641.7783156	1814.807329	-129687.8763	4001.83008	267.4790993	512	-15.91664714
1700	0.06629221395	-63889.68199	596.5304872	1850.271933	-129685.7194	4145.392875	265.4189767	512	-14.72473966
1800	0.06798509219	-64705.55802	611.7638521	1875.408319	-129683.9505	4128.334764	267.0914569	512	-15.80521063
1900	0.06292684154	-65295.27602	566.2471836	1896.40188	-129682.764	4187.770507	271.5909637	512	-15.47004229
2000	0.06419662287	-65755.65495	577.6733109	1919.68918	-129681.6048	4241.705379	271.4995259	512	-14.68670691
2100	0.07140128962	-66221.86656	642.5045046	1945.782147	-129680.4174	4296.131063	277.3276681	512	-14.02308863
2200	0.07246496523	-66579.21178	652.0759896	1971.936544	-129680.7916	4381.912799	280.4700171	512	-12.96305943
2300	0.07930480235	-67243.75487	713.6242639	2000.35014	-129680.1888	4450.150736	281.8164081	512	-13.22335707
2400	0.07458177982	-67596.9719	671.1241457	2027.811747	-129679.8119	4592.224043	284.00476	512	-12.06134651
2500	0.07698394423	-67760.55577	692.7400221	2046.881113	-129679.8219	4631.583134	289.2889528	512	-10.92504465
2600	0.07806987379	-68064.65785	702.5117593	2061.623426	-129681.111	4618.323118	288.4494216	512	-10.34269319
2700	0.08501394108	-68313.61846	764.9979488	2076.662018	-129679.8719	4657.10511	295.2406518	512	-9.359023688
2800	0.09433639359	-68860.26986	848.8860377	2097.267387	-129679.947	4629.51373	286.8746673	512	-10.44630926
2900	0.1014998512	-69403.26556	913.3464106	2110.134523	-129679.1492	4674.611066	292.6226079	512	-10.17404394
3000	0.1118695231	-69594.52281	1006.657904	2120.378319	-129678.5433	4656.555601	300.1392306	512	-9.292126628
3100	0.1383988959	-69823.91277	1245.382465	2137.567614	-129678.9266	4665.529805	305.527557	512	-8.073474006
3200	0.1520845995	-70211.07554	1368.533268	2137.588117	-129680.0564	4479.522804	316.5117488	512	-9.501725271
3300	0.1904970763	-70753.03986	1714.187941	2150.257027	-129678.1965	4510.709611	319.1566019	512	-8.970572957
3400	0.2199890573	-70721.5038	1979.571532	2174.250571	-129675.5488	4635.194634	322.2317088	512	-7.072056671
3500	0.2625441703	-71005.21655	2362.503717	2158.4238	-129679.5747	4373.737722	338.6008114	512	-7.898049384
3600	0.3260574787	-70906.05071	2934.028222	2156.282465	-129674.2325	4319.661499	351.2862563	512	-5.614627629
3700	0.4217608191	-70633.22595	3795.21473	2146.545708	-129661.0315	4055.802117	369.1539386	512	-4.654862993
3800	0.5653173716	-70762.9199	5087.008368	2124.469774	-129660.913	3858.750484	401.8351754	512	-5.457320827
3900	0.7850241506	-70195.76729	7064.039819	2083.037008	-129655.6234	3530.576994	429.2657689	512	-3.25261847
4000	1.089929865	-69010.36443	9807.733894	2049.861732	-129641.1765	3374.438028	459.5600364	512	0.6645018128
4100	1.566831209	-66547.53482	14099.13064	1918.995523	-129645.0241	2621.211712	513.6566684	512	5.190717906
4200	2.330912399	-63529.52683	20974.71522	1780.501006	-129646.4215	1661.129924	572.1892195	512	11.13560896
4300	3.526684671	-58502.78047	31734.87202	1570.721944	-129635.4535	474.1767109	667.4865463	512	21.66737648
4400	5.180039676	-50747.73982	46612.58702	1281.243361	-129629.9336	-1099.884757	667.9140506	512	35.95174241
4500	7.530530593	-40919.0506	67763.47955	1079.85918	-129627.0893	-1941.470046	672.1902275	512	68.58081531
4600	10.09143991	-30609.08901	90807.82202	977.7575632	-129581.3041	-2122.414396	689.2766781	512	100.7079502
4700	11.91851848	-21771.41912	107248.7885	1044.011207	-129614.9601	-2289.818316	789.0709868	512	121.4297234
4800	11.75970125	-17465.25053	105819.6717	984.46086	-129573.8161	-3253.386302	834.3265409	512	115.2047242
4900	9.569286988	-15911.27984	86109.22897	1046.811192	-129580.5311	-3885.202107	897.0665824	512	81.86481034
5000	6.79880695	-17148.86875	61179.06434	924.8308579	-129594.7544	-3984.863124	805.5533316	512	50.89070093
