timestep	temperature	potential_energy	kinetic_energy	bond_harmonic_energy	pppm_energy	pair_lj_energy	angle_harmonic_energy	volume	pressure
0	0	908615.6025	0	24618.38887	-129747.3141	166713.2071	717189.4135	512	743.9407512
100	46.26141936	221975.0693	416283.3821	92783.70832	-129486.5699	-3092.884746	134653.7342	512	-308.9697106
200	15.57315442	134871.5217	140135.03	94398.1284	-129551.9762	-5098.388468	53978.03722	512	763.7614241
300	6.978838792	28821.09876	62799.08087	27716.21622	-129647.7895	-4056.855375	22185.5164	512	-162.3988443
400	2.547505941	-8313.35332	22923.73221	5919.750069	-129676.0701	-2357.204946	15511.24242	512	-47.16161096
500	1.302949612	-30699.71969	11724.59208	5756.969652	-129686.9759	-1029.682953	2767.635714	512	-25.97005571
600	0.6457796903	-40716.12589	5811.048543	2879.728644	-129696.0745	632.9122554	1691.020307	512	-5.253142044
700	0.402512275	-47086.6741	3622.006707	1645.767174	-129691.8286	1549.283274	844.3165376	512	-21.64161575
800	0.2625079651	-50636.73298	2362.177924	1662.678228	-129692.1239	1932.438019	422.1826463	512	-26.07516961
900	0.1973378644	-53410.02378	1775.744773	1515.327625	-129691.1371	2419.66325	387.4885717	512	-12.90447105
1000	0.1635285575	-55737.12442	1471.511725	1551.839929	-129688.85	2900.626235	289.216946	512	-16.66781562
1100	0.1326646572	-57702.26076	1193.782918	1607.477203	-129689.2915	3289.623524	277.1685589	512	-17.72030029
1200	0.1155850617	-59493.58283	1040.092178	1652.380026	-129690.1521	3600.160817	282.9881656	512	-15.27822669
1300	0.107454358	-60512.56717	966.9280405	1705.692977	-129686.9384	3794.009425	268.818677	512	-15.34583742
1400	0.100079961	-61734.74544	900.5695287	1752.902478	-129686.0864	3961.399479	268.5563697	512	-16.15089848
1500	0.101901323	-62752.824	916.9590554	1789.567535	-129686.0882	4060.080267	278.9897454	512	-15.37498648
1600	0.09331893667	-63613.69388	839.7304516	1831.056957	-129684.1854	4222.938581	273.9511359	512	-14.68818517
1700	0.08743761545	-64347.57354	786.8073827	1859.347307	-129680.8419	4210.854469	276.5279923	512	-15.24199351
1800	0.08723700285	-64940.88979	785.0021702	1903.692748	-129676.0511	4446.282423	275.5655816	512	-13.40890896
1900	0.08080316501	-65314.04199	727.1072804	1932.210776	-129679.3973	4559.561521	273.6802576	512	-12.21829633
2000	0.07696813807	-66082.82058	692.5977904	1954.738227	-129683.7304	4615.121422	280.9255813	512	-12.82474283
2100	0.07469332265	-66603.69163	672.1278639	1969.2915	-129686.1074	4543.30571	281.0934427	512	-13.59692297
2200	0.08151176092	-66682.69561	733.4835806	1984.357034	-129684.7706	4489.628917	285.7868812	512	-12.3840853
2300	0.09025381839	-67610.82073	812.1489848	2011.916948	-129683.3438	4593.390318	288.5436285	512	-13.4219902
2400	0.0947103582	-68208.42972	852.2511583	2033.638593	-129682.6437	4641.669144	286.4273109	512	-13.15934724
2500	0.1076399867	-68710.97095	968.5984203	2055.496764	-129682.4884	4626.384214	290.6305825	512	-13.0120796
2600	0.1155628193	-68859.30792	1039.892029	2072.412833	-129684.3404	4605.711796	300.0730549	512	-12.19087362
2700	0.1260272178	-69067.75122	1134.05592	2099.166664	-129682.5268	4748.929497	295.2306608	512	-10.00885871
2800	0.1405793525	-69505.88095	1265.003303	2113.531999	-129684.4823	4795.990115	305.0406265	512	-9.388752083
2900	0.1507405866	-69480.10729	1356.439168	2126.511368	-129681.7028	4758.364639	308.1594991	512	-8.420138876
3000	0.1797276317	-69939.70315	1617.279094	2134.278676	-129680.2248	4684.930527	317.3016809	512	-8.575095855
