timestep	temperature	potential_energy	kinetic_energy	bond_harmonic_energy	pppm_energy	pair_lj_energy	angle_harmonic_energy
34900	499.0686371	3444.12563	1497.205911	3255.085766	-12.73935286	0	155.0940891
35000	703.9541018	5069.08724	2111.862305	4540.681035	-12.73935286	0	486.8365817
35100	354.2895042	8024.338077	1062.868512	7998.874274	-12.73935286	0	0.1643274055
35200	607.1347827	376.6037616	1821.404348	264.3822872	-12.73935286	0	83.6344481
35300	731.3327582	1904.739006	2193.998275	1098.556816	-12.73935286	0	757.9102529
35400	2045.634988	1619.983784	6136.904963	1561.985606	-12.45320311	0	9.574390953
35500	469.2868902	525.8786616	1407.86067	331.6790907	-12.73935286	0	140.9404532
35600	760.7383719	259.2973202	2282.215116	156.1497004	-12.73935286	0	53.64265561
35700	817.3375492	856.5448287	2452.012648	791.8214223	-12.73935286	0	17.33476833
35800	495.4671355	425.7349095	1486.401406	366.8320241	-12.73935286	0	11.94020283
35900	580.5081718	605.6739119	1741.524515	321.6759211	-12.73935286	0	210.1048107
36000	841.0255188	3018.238689	2523.076556	2986.282326	-12.73935286	0	4.865244594
36100	186.914671	324.8753875	560.7440129	286.1044682	-12.73935286	0	1.759066589
36200	1390.416491	2401.174439	4171.249472	2250.507134	-11.99836519	0	119.3338605
36300	959.2919221	2335.531843	2877.875766	1649.918669	-12.73935286	0	630.639358
36400	2136.158602	2396.183836	6408.475807	2313.376396	-12.73935286	0	23.78660424
36500	1721.379565	2422.447222	5164.138694	2069.258307	-12.73935286	0	296.2653186
36600	1940.115638	3094.109363	5820.346913	2395.133539	-12.73935286	0	651.68235
36700	853.360231	1885.984086	2560.080693	1601.794105	-12.63315723	0	246.1414568
36800	1277.407198	7348.426179	3832.221593	7072.176394	-12.73935286	0	243.6563735
36900	136.9006357	1443.271916	410.7019071	1415.254352	-12.73935286	0	0.2756352753
37000	333.1004134	2475.978092	999.3012401	2365.324804	-12.73935286	0	78.9309303
37100	2022.079717	838.9427318	6066.239152	740.1872148	-12.63315724	0	57.47396188
37200	256.9897719	3548.359656	770.9693156	3431.479234	-12.73935286	0	88.97027301
37300	744.7741579	3335.613956	2234.322474	3299.09288	-12.73935286	0	10.42079143
37400	694.8786995	4063.517409	2084.636098	3725.001062	-12.73935286	0	293.5835842
37500	251.5676374	4107.150028	754.7029121	4074.415348	-12.73935286	0	4.673644777
37600	1462.944964	2317.488597	4388.834892	2287.758892	-12.73935286	0	0.3347291349
37700	220.4375786	2495.296928	661.3127357	2366.8605	-12.73935286	0	98.07357453
37800	1683.700883	2138.586664	5051.102649	1915.110931	-12.4532031	0	165.4609598
37900	605.0063207	6682.715544	1815.018962	6477.179328	-11.99836523	0	173.9717634
38000	646.9788162	5312.944834	1940.936449	5113.890403	-12.73935286	0	165.4020165
38100	841.6511277	685.1335523	2524.953383	639.6662417	-12.73935286	0	0.6918745142
38200	579.1744124	3456.287448	1737.523237	3214.804089	-12.73935286	0	203.3778224
38300	1519.689344	1117.234583	4559.068031	1060.173574	-12.73935286	0	7.14711656
38400	614.1758454	1741.672517	1842.527536	1112.944258	-12.73935286	0	576.5719288
38500	668.2996281	997.8660535	2004.898884	602.3653049	-11.92654846	0	342.7076357
38600	844.1130737	3015.337737	2532.339221	2859.649835	-12.45320309	0	128.1655679
38700	974.1225908	725.2325944	2922.367772	577.5556256	-12.73935286	0	99.18715508
38800	459.3953004	4822.299819	1378.185901	4556.825976	-12.73935286	0	229.0507621
38900	629.4009429	1443.42704	1888.202829	1367.107962	-12.73935286	0	24.97258234
39000	528.5066035	1025.765998	1585.51981	844.7894395	-12.73935286	0	143.1316142
39100	1874.768673	3304.275162	5624.30602	2703.807027	-11.92654847	0	522.8454315
39200	222.2223339	1783.600794	666.6670018	1749.11463	-12.73935286	0	0.1839068313
39300	824.2710467	338.6142931	2472.81314	250.881865	-12.73935286	0	51.9283698
39400	1052.892994	6982.804444	3158.678981	6956.290596	-12.73935286	0	0.1912656871
39500	553.0659421	5437.44	1659.197826	5285.872716	-12.73935286	0	121.9725858
39600	1618.882802	6341.266014	4856.648407	5966.780482	-12.73935286	0	337.4899391
39700	1098.583151	1440.538735	3295.749452	1144.821474	-12.73935286	0	248.8436977
39800	906.6230671	2340.730082	2719.869201	2088.580067	-12.73935286	0	165.2220246
39900	306.1898758	937.5339516	918.5696275	901.6881798	-12.63315723	0	2.291200145
40000	875.8915657	226.7265526	2627.674697	184.8608959	-12.63315723	0	0.4390871392
40100	614.9839018	1775.665683	1844.951706	1571.460945	-12.63315723	0	169.0431516
40200	288.2043509	496.7068671	864.6130526	311.2515282	-12.63315723	0	143.5090288
40300	377.749397	3703.821399	1133.248191	3406.493732	-12.73935286	0	256.6367874
40400	279.1303626	2234.752609	837.3910877	2139.046921	-12.73935286	0	67.44146291
40500	387.671716	5963.867938	1163.015148	5542.624919	-12.73935286	0	375.181265
40600	198.6189631	5266.301048	595.8568893	4815.628266	-12.45320311	0	396.5096237
40700	262.8469531	1754.029476	788.5408593	1704.71163	-12.73935286	0	0.3938746832
40800	623.4119672	9021.881183	1870.235902	8716.988125	-12.73935286	0	272.6666072
40900	519.4052055	4591.12214	1558.215617	4308.794234	-12.73935286	0	247.4505613
41000	364.6608373	358.0606876	1093.982512	236.8090875	-12.63315723	0	80.9058204
41100	352.2233206	690.2137221	1056.669962	635.7055209	-12.73935286	0	27.4315246
41200	339.2455668	496.8828594	1017.7367	343.8933543	-12.73935286	0	119.0842969
41300	1494.970993	6757.748783	4484.912979	6450.50265	-12.73935286	0	270.4344064
41400	961.3243491	2905.623761	2883.973047	2796.51784	-12.73935286	0	77.80738836
41500	1234.676784	2839.687547	3704.030353	2811.913204	-12.73935286	0	0.02101824853
41600	498.2896912	1093.675721	1494.869073	1028.381044	-12.73935286	0	7.693661134
41700	998.2726882	189.398615	2994.818065	37.74563591	-12.73935286	0	123.2874069
41800	115.3232417	768.071013	345.969725	710.5981681	-12.73935286	0	16.28440709
41900	368.3426739	2069.938885	1105.028022	1720.744337	-12.73935286	0	263.1263126
42000	561.4556311	2369.230031	1684.366893	2005.131101	-12.73935286	0	327.9543158
42100	794.1244012	922.631962	2382.373204	839.0287806	-12.73935286	0	41.01791982
42200	253.0875259	2565.81874	759.2625778	2363.635743	-12.63315723	0	169.9744938
42300	1056.282887	876.3512243	3168.84866	705.5338325	-12.4532031	0	138.4281636
42400	222.3602301	2342.149967	667.0806903	1994.206538	-12.73935286	0	304.1834979
42500	333.807455	8406.565283	1001.422365	8069.957147	-12.73935286	0	312.6424012
42600	1311.181066	698.7675892	3933.543197	653.8646887	-12.73935286	0	17.75485462
42700	535.2724852	746.8430067	1605.817456	680.0196382	-12.73935286	0	19.59698853
42800	581.8218872	2016.50356	1745.465662	1972.683372	-12.73935286	0	2.113315706
42900	603.6089801	1332.175056	1810.82694	1300.205664	-12.73935286	0	3.806484523
43000	320.3318102	7741.877354	960.9954306	7119.156635	-12.73935286	0	587.5718201
43100	470.9748034	463.4882998	1412.92441	266.802313	-12.73935286	0	163.8155978
43200	620.7636053	4532.365228	1862.290816	4062.21767	-12.4532031	0	410.5133637
43300	382.4609794	3353.300644	1147.382938	3133.247115	-12.73935286	0	184.3387926
43400	360.8135514	5766.370393	1082.440654	5522.06409	-12.73935286	0	210.2927396
43500	1039.11586	1694.442236	3117.347579	1554.342335	-12.73935286	0	92.16648426
43600	1808.245082	1686.768409	5424.735245	1537.227524	-12.73935286	0	95.48290372
43700	991.7791866	1852.906955	2975.33756	1551.886759	-12.73935286	0	256.216542
43800	365.223887	5173.647607	1095.671661	4979.943115	-12.63315723	0	161.2713873
43900	334.6544135	2717.693914	1003.963241	2468.559486	-12.3256436	0	215.507583
44000	2080.135659	1356.877228	6240.406978	1321.05759	-12.73935286	0	7.087053252
44100	332.1153481	5967.400962	996.3460444	5738.024326	-12.63315723	0	197.5654227
44200	675.7760288	2397.389918	2027.328086	1840.857901	-12.63315723	0	515.2576372
44300	1232.93379	3334.413493	3698.801369	3019.242666	-12.63315723	0	283.44344
44400	903.9707521	784.8950651	2711.912256	412.8145833	-11.99836535	0	309.4749598
44500	1391.823153	3774.296734	4175.46946	3642.283352	-12.63315723	0	98.85328702
44600	699.2928264	3100.913398	2097.878479	3064.326653	-12.73935286	0	10.57278313
44700	301.6782929	841.5039518	905.0348787	610.1517907	-12.73935286	0	174.0072705
44800	587.6662507	2302.173268	1762.998752	2165.629492	-12.73935286	0	54.74159316
44900	701.3486316	5974.129001	2104.045895	5839.433472	-12.45320311	0	103.7938927
45000	812.9833974	2189.749276	2438.950192	2136.190906	-12.73935286	0	20.74113581
45100	446.0961326	2952.704149	1338.288398	2351.593711	-11.92654845	0	551.166171
45200	286.7143802	1641.223527	860.1431406	1543.558171	-12.45320309	0	58.28182823
45300	493.651358	1648.100869	1480.954074	1001.444377	-11.99836535	0	598.1738177
45400	1251.603622	5059.296929	3754.810865	5035.627139	-12.45320309	0	1.794925113
45500	1727.468664	2868.702534	5182.405992	2608.061308	-12.73935286	0	188.3817411
45600	707.6594044	4325.408392	2122.978213	3817.665718	-12.73935286	0	447.1614446
45700	1731.67686	2131.953903	5195.030579	1999.434599	-12.63315723	0	74.30256252
45800	1873.111327	504.1894045	5619.333981	438.3938951	-11.7686486	0	30.38607073
45900	770.073943	5121.118471	2310.221829	4624.594476	-12.73935286	0	460.3024082
46000	413.5623882	6601.63826	1240.687165	6175.704056	-11.99836535	0	378.7008534
46100	362.3390768	7184.964518	1087.017231	7161.77092	-12.73935286	0	0.4696043222
46200	233.9213787	703.409957	701.7641361	652.58807	-12.73935286	0	3.848703929
46300	1167.658617	3711.754178	3502.97585	3213.610526	-12.73935286	0	446.5291886
46400	262.9420359	3425.968772	788.8261077	3216.060471	-11.99836534	0	174.9033141
46500	1308.631398	1088.468755	3925.894195	1061.434011	-12.63315723	0	0.01917579796
46600	688.5711423	615.5236177	2065.713427	586.3538705	-12.73935286	0	1.173845411
46700	520.5903924	6869.915126	1561.771177	6352.87166	-12.73935286	0	468.0083599
46800	449.2127247	2067.02064	1347.638174	2022.68682	-12.73935286	0	10.19973231
46900	251.7787891	2945.143423	755.3363674	2735.937742	-12.73935286	0	187.1884949
47000	571.9994108	628.9572536	1715.998232	370.3495219	-12.73935286	0	198.4348311
47100	344.5740231	2750.397806	1033.722069	2700.341044	-12.73935286	0	24.79602935
47200	375.5498885	644.2257078	1126.649666	570.0112498	-12.73935286	0	39.13803938
