timestep	temperature	potential_energy	kinetic_energy	bond_harmonic_energy	pppm_energy	pair_lj_energy	angle_harmonic_energy	volume	pressure
0	0	908615.6025	0	24618.38887	-129747.3141	166713.2071	717189.4135	512	743.9407512
100	40.30879646	190649.2057	362718.705	81269.91465	-129502.4147	-3506.312567	115741.0002	512	-400.9600511
200	10.10955579	91630.8753	90970.8378	71966.35265	-129587.4652	-5273.240963	36385.76699	512	611.7691015
300	4.015842272	1356.29338	36136.55669	14132.01478	-129685.575	-3506.416167	13328.16222	512	-201.7609763
400	1.228706987	-23880.89262	11056.51982	2963.146696	-129698.9453	-1615.237227	7062.939446	512	-66.67664689
500	0.6185067838	-38122.26982	5565.633294	2662.5073	-129688.2071	-422.126089	1094.195512	512	-2.529995174
600	0.3266816776	-44405.32726	2939.645076	1514.025231	-129688.0017	905.7677848	780.326186	512	-16.59849445
700	0.2019129485	-48635.51085	1816.913667	1331.627631	-129693.3789	1697.475627	308.1882861	512	-24.94038689
800	0.1441139453	-51303.81837	1296.809337	1360.156151	-129694.6266	2104.518005	267.1683694	512	-20.94300793
900	0.1213063438	-53491.11352	1091.575135	1409.863927	-129692.1436	2505.850316	279.9679773	512	-17.25628831
1000	0.1019835597	-55257.75912	917.6990621	1481.817374	-129690.017	2882.049138	242.9154531	512	-18.31271405
1100	0.09448975031	-56738.95263	850.2660182	1541.119612	-129686.4617	3128.989157	250.4380311	512	-17.87621912
1200	0.09094931463	-58478.58521	818.4074077	1604.679533	-129687.5114	3391.219121	263.4422219	512	-17.33618387
1300	0.08482679931	-59622.52778	763.3139536	1661.940198	-129688.9882	3601.637146	261.2871116	512	-16.74885333
1400	0.08335081148	-60743.85831	750.0322771	1719.192319	-129687.2486	3833.833418	264.0065659	512	-16.04042575
1500	0.07375126376	-61888.08417	663.6507469	1770.156028	-129687.1661	4089.169705	270.2512472	512	-15.0825375
1600	0.06651091536	-62870.16366	598.4984718	1815.199132	-129686.2552	4291.302422	269.9311837	512	-14.57269613
1700	0.06501167843	-63783.23566	585.0075883	1846.326283	-129685.4806	4320.6186	272.5643712	512	-15.25283542
1800	0.06772908312	-64342.15163	609.4601545	1890.733494	-129682.9964	4545.257287	277.3041594	512	-13.1885767
1900	0.06168488811	-65107.85751	555.0714656	1915.216823	-129681.5131	4512.832104	275.9745115	512	-14.25110033
2000	0.05859439346	-65849.18773	527.2616496	1946.391932	-129682.4048	4618.900063	276.433589	512	-14.48033703
2100	0.05246179433	-66103.83723	472.0774563	1967.458248	-129683.4571	4647.614661	275.1234554	512	-13.649205
2200	0.0567808586	-66820.28127	510.9425561	1988.321104	-129684.2654	4673.404557	280.6044363	512	-14.09198826
2300	0.05189422631	-67114.71711	466.9701955	2000.540583	-129684.9926	4669.893527	288.703355	512	-13.80511529
2400	0.05255997772	-67360.60099	472.9609595	2029.396504	-129687.4472	4825.675536	287.9674742	512	-12.20597504
2500	0.05502633145	-67887.54515	495.1544435	2051.709378	-129687.2608	4860.682592	292.4767546	512	-12.45878639
2600	0.05594001621	-68133.03528	503.3762358	2068.872118	-129687.3006	4934.507358	290.3868671	512	-11.12705314
2700	0.05724111975	-68458.93863	515.0842161	2079.913467	-129688.2263	4906.339553	289.9219376	512	-11.31594803
2800	0.06042686635	-68981.27937	543.7511569	2089.604614	-129687.1527	4809.134541	296.9786763	512	-12.98709794
2900	0.06268122832	-69184.17736	564.037033	2100.411965	-129683.6008	4817.912887	296.6233133	512	-12.39428569
3000	0.06722490497	-69407.86594	604.9233073	2115.373615	-129685.8153	4847.055059	300.2695128	512	-11.77784837
3100	0.07806706152	-70010.30438	702.4864531	2134.203433	-129683.0341	4926.421974	301.1462307	512	-12.03173849
3200	0.08523012003	-69776.58142	766.9432351	2141.891258	-129680.7572	4889.804181	304.6567377	512	-10.13398208
3300	0.1001748945	-70180.98822	901.4237883	2160.330402	-129680.6197	4962.296475	310.1511965	512	-9.577197768
3400	0.1235974016	-70732.47504	1112.191219	2183.087627	-129678.0307	5011.83533	314.6957163	512	-9.549502849
3500	0.1414701164	-70847.90953	1273.018842	2189.747937	-129679.5835	5008.021088	317.0456141	512	-8.56176527
3600	0.1696575668	-71255.84401	1526.663615	2202.809103	-129682.6259	4979.679179	321.6631698	512	-8.976573644
3700	0.203018212	-71272.97924	1826.859381	2204.069252	-129679.0739	4835.527863	330.2386567	512	-8.523092094
3800	0.2354887223	-71148.28542	2119.045268	2207.559447	-129677.5304	4847.518752	344.7968572	512	-6.538291265
3900	0.292150224	-71492.71097	2628.913791	2214.095071	-129674.2732	4898.845855	351.5886629	512	-6.76229079
4000	0.3919650597	-71361.37569	3527.09759	2206.7446	-129673.2436	4693.922833	363.4119789	512	-6.610197171
4100	0.5302745148	-71443.91646	4771.675221	2175.58264	-129668.4953	4405.642992	395.4271307	512	-5.824163258
4200	0.74023941	-70869.17128	6661.044331	2146.295773	-129666.1033	4038.416643	415.0558144	512	-4.347934511
4300	1.046650469	-69920.07952	9418.284242	2088.818336	-129656.0701	3678.985747	458.1074469	512	-1.177978017
4400	1.48176425	-67994.11189	13333.65561	1986.736406	-129644.2691	3040.987224	503.240969	512	2.441223449
4500	2.174438302	-64918.22691	19566.68306	1839.551411	-129638.766	2017.522796	550.8531088	512	7.739747283
4600	3.290057917	-61059.31417	29605.58616	1692.027488	-129635.6994	1111.851219	603.6830464	512	18.49345841
4700	4.738528067	-54546.85143	42639.64481	1394.643138	-129616.8921	-577.1682308	654.4786838	512	32.83187093
4800	6.536019686	-46214.48558	58814.37314	1177.682939	-129611.4207	-2165.244725	663.9730009	512	47.63297927
4900	8.132921889	-37754.81714	73184.09762	1051.684041	-129619.327	-2043.086771	736.1912389	512	74.72387973
5000	8.790215934	-30215.73381	79098.75808	980.4560737	-129598.8638	-2667.816677	740.0393703	512	83.31479427
5100	8.112181463	-25835.15004	72997.4649	935.6704468	-129603.7172	-3485.44105	760.5797366	512	72.46653766
5200	6.459850828	-23986.69072	58128.96767	881.8098959	-129604.894	-4063.863477	781.7364028	512	48.71040011
5300	4.775283264	-25531.11247	42970.38645	826.537502	-129632.2699	-4173.355044	731.080295	512	22.68623535
5400	3.47501033	-28543.59473	31269.88046	863.6521972	-129638.7407	-3637.090158	667.276147	512	15.24068749
5500	2.531093969	-31729.85637	22776.04908	905.2454573	-129611.1599	-3498.083537	656.9244254	512	-2.88048135
5600	2.04108027	-36067.89842	18366.66081	1028.58879	-129613.2029	-2839.243751	707.9400762	512	-6.066150515
5700	1.821780411	-41367.71074	16393.29103	1207.296498	-129627.4317	-1813.409833	689.4706338	512	-5.489792642
5800	1.568419943	-45209.79855	14113.42686	1309.666774	-129646.6786	-1403.305476	671.0359881	512	-11.15743587
