timestep	temperature	potential_energy	kinetic_energy	bond_harmonic_energy	pppm_energy	pair_lj_energy	angle_harmonic_energy	volume	pressure
0	0	908615.6025	0	24618.38887	-129747.3141	166713.2071	717189.4135	512	743.9407512
100	41.83709709	198523.6405	376471.1182	83641.42046	-129478.1271	-3449.226981	120682.2751	512	-377.6767998
200	11.14036594	102334.4762	100246.5829	78188.94209	-129587.1268	-5238.635978	40092.83071	512	642.4064645
300	4.543769983	7655.379511	40887.1142	17020.25301	-129663.5765	-3697.265191	15339.66308	512	-198.6560297
400	1.446018543	-20485.86957	13011.99786	3471.094888	-129682.7136	-1912.399776	8727.064709	512	-57.80485786
500	0.7468774774	-36951.21135	6720.776981	3016.985793	-129690.8558	-430.0460247	1345.810089	512	-3.040465273
600	0.3708009556	-44038.40208	3336.652399	1735.514943	-129683.2893	719.2258266	931.2261256	512	-14.24004717
700	0.2339487863	-48357.02361	2105.188153	1338.757174	-129688.9033	1490.094265	390.3957398	512	-23.88279236
800	0.1744481418	-51578.80663	1569.771604	1415.429619	-129686.883	2161.623195	290.2086259	512	-21.34119413
900	0.1369041678	-53956.40614	1231.932154	1434.719522	-129687.6028	2661.33145	296.2746352	512	-14.91598051
1000	0.1196064013	-55855.08595	1076.278202	1503.590472	-129692.2869	2905.603378	252.3193175	512	-17.93012977
1100	0.1035122581	-57440.04673	931.4550549	1571.545084	-129697.436	3223.858291	256.541053	512	-17.31540846
1200	0.08379060093	-58933.25075	753.9897224	1629.516504	-129695.9691	3443.333372	266.4289609	512	-16.65797223
1300	0.07873231702	-59817.74589	708.4727547	1677.269434	-129694.5592	3588.915217	261.0105604	512	-16.18558758
1400	0.07645221554	-60939.80628	687.9552615	1721.301479	-129693.008	3754.284987	266.0320791	512	-16.22609232
1500	0.07335276896	-62025.0862	660.0648915	1766.152629	-129691.9678	3917.329922	269.0935511	512	-15.9825337
1600	0.07260649503	-62845.82214	653.3495455	1805.928395	-129691.7465	4056.387981	276.402472	512	-15.54860824
1700	0.07865918491	-63710.24816	707.8146754	1856.147327	-129692.999	4318.488983	275.1561703	512	-13.9666617
1800	0.06271746845	-64495.66983	564.3631398	1882.826605	-129692.5	4330.742596	279.5373252	512	-14.94147185
1900	0.06089745006	-65203.54523	547.9857043	1910.307646	-129694.2893	4395.593866	277.2905368	512	-15.13967789
2000	0.06272537221	-65764.37828	564.4342618	1942.767389	-129693.6969	4581.346555	280.0393139	512	-13.72018531
2100	0.0649628018	-66467.24848	584.567772	1968.324472	-129691.8973	4571.689331	280.2763965	512	-14.60827485
2200	0.06470793506	-66693.48368	582.2743536	1988.070318	-129692.5696	4631.866565	282.9688755	512	-13.33130604
2300	0.05963600883	-67404.76607	536.6346254	2016.562336	-129693.0993	4769.104213	280.7658242	512	-13.30663181
2400	0.06751835823	-67705.06792	607.5639465	2039.233616	-129693.5568	4821.181685	287.3476394	512	-12.26819787
2500	0.06635622831	-68192.42783	597.1065204	2058.317689	-129695.5751	4817.393517	293.1941282	512	-12.9420536
2600	0.06440216668	-68637.83245	579.5228969	2067.830372	-129693.3536	4788.568172	289.7387247	512	-13.02223851
2700	0.07246787463	-68917.73707	652.1021698	2088.885336	-129690.4997	4850.578901	292.5847134	512	-12.3882885
2800	0.07294052189	-69060.26745	656.3552862	2106.39627	-129691.6499	4822.527245	294.5612106	512	-12.10784147
2900	0.0838971999	-69599.75866	754.9489533	2126.086934	-129692.8333	4968.426972	294.618603	512	-11.08259544
3000	0.08929133762	-69892.33017	803.4881016	2138.774639	-129694.4648	4964.776624	301.470229	512	-10.56277743
3100	0.09848999207	-70305.25805	886.2621936	2160.921854	-129688.6867	5072.113275	299.3972999	512	-10.05792947
3200	0.1078555298	-70284.77533	970.5379847	2166.800465	-129688.8483	4987.136103	310.4302296	512	-9.007302507
3300	0.1274344392	-70533.94955	1146.718801	2168.651154	-129692.1101	4897.430835	313.389632	512	-9.26147821
3400	0.1534281093	-70801.26862	1380.622842	2181.621773	-129691.0468	4864.503471	319.9321054	512	-9.221969326
3500	0.1848975134	-71064.39432	1663.800274	2204.070585	-129688.0064	4936.365837	333.8175792	512	-8.823566039
3600	0.2205978424	-71339.12865	1985.049685	2202.815729	-129693.6826	4926.808278	337.7315072	512	-7.628509944
3700	0.2711730576	-71305.76575	2440.150759	2194.752121	-129688.6254	4680.964581	342.2224416	512	-8.017651138
3800	0.3446322532	-71014.38498	3101.17333	2187.202728	-129680.2592	4441.411678	357.7107655	512	-7.31661479
3900	0.450211364	-70821.86822	4051.226959	2173.149078	-129675.6382	4399.158941	377.3279181	512	-3.952861946
4000	0.5984092669	-70628.07732	5384.785788	2159.889605	-129670.3206	4269.246325	388.4704075	512	-3.090774873
4100	0.8291437139	-69971.43211	7461.049709	2107.319376	-129670.1306	3697.323576	426.051209	512	-4.148878442
4200	1.208358397	-69524.35152	10873.41304	2057.467719	-129655.8626	3562.352256	491.5791307	512	-0.01139638761
4300	1.748185667	-66917.29477	15731.04872	1917.592617	-129643.9134	2386.55623	569.0492028	512	3.388261176
4400	2.572728552	-63413.70994	23150.69788	1773.39002	-129641.0379	1745.055368	614.9916352	512	14.4646208
4500	3.798317384	-58152.66557	34179.15898	1538.117826	-129628.3895	-66.36797998	638.726727	512	19.74852831
4600	5.492637203	-50312.22835	49425.49588	1324.075411	-129626.8841	-1388.159768	632.2477886	512	36.10868597
4700	7.497494821	-41383.49406	67466.20715	1113.04702	-129620.7903	-1957.668781	701.9700493	512	64.3408631
4800	9.217014185	-32753.57887	82939.30214	1072.812352	-129602.6453	-2793.716889	662.9135224	512	82.41762139
4900	9.828295259	-26716.58296	88439.91489	984.3829576	-129591.1186	-3095.774993	794.0496095	512	83.51817926
5000	8.754704031	-22412.65248	78779.20423	970.5637143	-129563.8112	-3290.738903	832.0400704	512	78.71554649
5100	6.830887262	-23331.62623	61467.73903	887.4307639	-129616.5	-3760.604273	773.3994617	512	54.16863452
5200	4.821032521	-23969.01135	43382.06114	858.4514305	-129590.8105	-3745.209792	741.017476	512	31.21625796
5300	3.378623252	-27159.22919	30402.54133	869.9560876	-129601.364	-4025.334331	688.8774616	512	9.768397778
5400	2.504599304	-30561.66174	22537.63683	886.1244047	-129614.147	-3661.999218	684.3388392	512	2.216676639
5500	1.96488639	-35188.00485	17681.03018	999.9338289	-129634.0888	-2883.439402	661.8722746	512	-6.644477614
5600	1.716589917	-40147.7478	15446.73437	1169.345781	-129608.6833	-1885.020306	688.9826214	512	-6.852560793
5700	1.56221168	-44286.89296	14057.5618	1323.132808	-129649.7538	-1369.056733	692.9024276	512	-11.54880832
5800	1.425249687	-47908.29842	12825.10931	1391.109613	-129644.4823	-1129.105931	750.9264818	512	-10.59354231
5900	1.341012103	-51366.18116	12067.09741	1552.20011	-129642.0885	-103.6389001	693.7781934	512	-4.915422898
6000	1.292398386	-54320.06375	11629.64688	1684.182964	-129663.3876	310.7843846	704.8998779	512	-9.272688105
6100	1.258459152	-56834.59916	11324.24468	1739.810005	-129663.1627	206.2070176	748.761326	512	-10.30429523
6200	1.24831024	-59081.16823	11232.9197	1863.655549	-129663.5924	446.1909834	748.0325432	512	-8.278963226
6300	1.222141359	-60936.86989	10997.43902	1937.072037	-129673.716	873.2047604	720.725265	512	-6.811554404
6400	1.235658988	-62429.58751	11119.07741	1995.770734	-129647.3566	823.88586	753.0783854	512	-6.831587756
6500	1.256086573	-63261.54945	11302.89502	2059.190949	-129652.3402	603.7984116	782.7417194	512	-4.398977102
6600	1.328382847	-64081.35425	11953.45305	2110.92279	-129659.996	543.6149719	844.7419846	512	-7.761045626
6700	1.348316032	-63967.09847	12132.82182	2173.085619	-129632.8342	901.2562762	877.2616565	512	-3.15172793
6800	1.426274825	-64844.90509	12834.33401	2181.924425	-129646.304	398.9531582	937.9455569	512	-3.930589986
6900	1.524973569	-64223.93501	13722.47466	2232.445417	-129658.4068	142.443596	954.7199278	512	2.429909686
7000	1.627212667	-63648.55418	14642.47318	2235.65414	-129652.5024	-518.5093429	1041.870474	512	-3.977066137
7100	1.791977078	-62783.85917	16125.10574	2293.836628	-129637.4825	-412.3854277	1146.999689	512	0.5957795375
7200	1.988453221	-61391.39792	17893.0963	2299.689203	-129625.2829	-1128.568083	1105.267577	512	1.476308368
7300	2.186114901	-59981.87543	19671.75494	2323.066652	-129635.4821	-1398.223636	1317.892921	512	6.538111793
7400	2.427175779	-57946.81985	21840.94124	2358.269473	-129655.1791	-1828.57866	1422.632965	512	-2.28998693
7500	2.661036521	-55042.85511	23945.33714	2481.009263	-129649.9947	-2335.867848	1581.065361	512	2.505564484
7600	2.96275298	-52243.38772	26660.33269	2524.959651	-129637.3675	-2663.884059	1631.305176	512	11.79895366
7700	3.231315413	-48798.43741	29076.99175	2627.103639	-129653.3747	-3430.590144	1811.121568	512	12.32870782
7800	3.465983479	-45126.33159	31188.65233	2692.819638	-129631.8594	-3885.016579	1929.070803	512	11.41324201
7900	3.734655579	-42413.20279	33606.29823	2749.074973	-129632.4605	-3788.18176	2152.369683	512	16.14621425
8000	3.828127335	-38042.55794	34447.40383	2888.329088	-129625.8465	-4438.812809	2298.118008	512	15.92542506
8100	3.989336767	-36094.80732	35898.04689	2778.529885	-129615.1752	-4921.220024	2333.559893	512	18.80232768
8200	3.969301825	-33521.1623	35717.76247	3016.722418	-129629.4739	-4717.152221	2517.903413	512	9.012999746
8300	3.904765211	-32128.27325	35137.02975	2936.393532	-129628.0289	-4899.206311	2516.495349	512	9.991993651
8400	3.811395558	-31860.86277	34296.84293	2861.703487	-129622.6486	-4591.417842	2469.485565	512	5.258921284
8500	3.61910716	-31176.38625	32566.53578	3093.842578	-129636.7739	-4505.52337	2424.671441	512	3.804311149
8600	3.416877531	-32084.65034	30746.77246	2907.252013	-129639.1707	-4556.956211	2452.606782	512	-3.723477154
8700	3.236355945	-32978.27078	29122.34897	2808.334844	-129639.3595	-4020.29638	2350.853622	512	2.94282659
8800	3.011546416	-33779.79841	27099.40043	2939.173748	-129642.8725	-4258.006384	2252.405078	512	-0.609864863
8900	2.824321262	-35730.60079	25414.65488	2813.224192	-129644.139	-3620.361473	2144.09354	512	0.1100187144
9000	2.721113975	-37668.80146	24485.94411	2671.297644	-129624.7511	-3588.149269	2132.319792	512	-3.156462007
9100	2.552783617	-39448.54961	22971.22338	2808.833922	-129625.6675	-3163.070338	2032.437573	512	-2.010714742
9200	2.492644172	-41771.60762	22430.05858	2757.891778	-129633.7845	-2584.398692	1937.870738	512	-0.9130903357
9300	2.381784049	-43099.74691	21432.48376	2661.448905	-129634.3202	-3031.3944	1894.109098	512	-6.765909488
9400	2.335048037	-44455.09376	21011.92976	2729.990377	-129647.589	-2749.925947	1912.046586	512	-3.511109823
9500	2.268574082	-46418.01001	20413.76388	2734.123026	-129631.3483	-2254.425691	1866.421215	512	-5.718429101
9600	2.239736083	-47849.73555	20154.26514	2811.928547	-129635.6449	-2014.410063	1763.371244	512	3.969351574
9700	2.258730556	-49498.69276	20325.18691	2889.27486	-129644.5002	-1862.272385	1848.308651	512	0.1165450932
9800	2.208926339	-50237.02967	19877.02366	2798.369982	-129653.4399	-1973.417412	1717.723146	512	-2.39727632
9900	2.201539992	-51298.12062	19810.55761	2791.598352	-129646.2355	-1934.811992	1865.296926	512	-1.77967478
10000	2.199966711	-51963.47872	19796.40045	2882.40369	-129630.644	-2022.872886	1884.950813	512	-0.9426244861
10100	2.22138245	-52379.51976	19989.10997	2906.906077	-129645.8935	-2222.267028	1886.982946	512	-2.379364365
10200	2.267672743	-53031.48163	20405.65318	3067.234088	-129625.6944	-1898.783154	1963.06186	512	-1.949764557
10300	2.265699815	-52803.37785	20387.89978	2933.04178	-129640.8587	-2058.217182	2009.753495	512	-4.858851819
10400	2.292085936	-52803.65887	20625.3353	3067.144601	-129655.3742	-2550.209034	1915.090748	512	-0.1956383876
10500	2.355031858	-52790.09963	21191.75418	3152.533637	-129618.3968	-2340.314487	2040.405906	512	1.721229258
10600	2.377499557	-52185.9714	21393.92976	3156.692274	-129641.9317	-2951.04642	2187.011337	512	-3.380633772
10700	2.488041995	-52487.44341	22388.6459	3183.830258	-129629.31	-3003.909978	2170.410578	512	5.624199913
10800	2.563683992	-51923.00901	23069.3104	3281.475181	-129636.4197	-3496.447602	2207.306535	512	-3.399113662
10900	2.633283767	-50990.96585	23695.60398	3324.957856	-129641.3183	-3133.981761	2287.954984	512	-1.136854439
11000	2.685396732	-50358.24971	24164.54249	3334.923553	-129633.1065	-3790.928221	2392.710722	512	3.406113625
11100	2.771831683	-49901.59759	24942.3274	3536.429852	-129647.481	-3458.946849	2588.605954	512	1.185148402
11200	2.808590212	-48873.39305	25273.09902	3596.290213	-129612.5793	-3687.849486	2512.412812	512	-4.413471174
11300	2.824738019	-47931.33269	25418.40507	3560.207735	-129625.3563	-3749.466708	2744.506499	512	11.89806943
11400	2.897201817	-47650.6433	26070.47055	3707.385332	-129640.9909	-4227.989966	2603.503246	512	1.983272338
11500	2.915517666	-46747.84864	26235.28572	3654.080419	-129644.2296	-4242.679917	2638.817538	512	-0.4837262259
11600	2.907991911	-46273.1352	26167.56521	3757.74824	-129627.9751	-3995.646748	2731.43302	512	11.07949832
11700	2.905655564	-45898.38678	26146.5416	3818.911658	-129623.1489	-4546.842415	2678.193507	512	-7.191519721
11800	2.920315767	-45562.78138	26278.46143	3774.922971	-129628.9404	-4297.026689	2856.612765	512	5.041753498
11900	2.899568616	-45552.64379	26091.76819	3854.007494	-129650.21	-4438.001257	2659.191349	512	0.8138573565
12000	2.915817761	-45563.20037	26237.98613	3934.705241	-129642.1055	-4110.687162	2824.170117	512	2.937657025
12100	2.84338711	-45712.37489	25586.21891	3955.39054	-129620.0804	-3639.672564	2885.261492	512	3.35583258
12200	2.824207572	-46080.44641	25413.63183	3929.080148	-129642.8491	-3533.303685	2804.395489	512	8.47147332
12300	2.840917416	-47107.1255	25563.99536	4008.378283	-129651.7329	-4202.80111	2639.685999	512	-8.39125713
12400	2.775563759	-47278.56498	24975.91049	3772.778085	-129637.9584	-3643.160797	2837.236836	512	3.625157519
12500	2.715242003	-47550.66892	24433.10517	3927.17495	-129638.2201	-3810.344626	2786.192124	512	-4.555975654
12600	2.650802671	-48008.98417	23853.24783	4068.552027	-129664.2661	-3502.203476	2720.901124	512	-5.062706817
12700	2.689013172	-48631.91644	24197.08503	3795.871	-129617.9871	-3557.77219	2663.249796	512	12.04251391
12800	2.604108208	-49400.94474	23433.06771	3859.857189	-129638.766	-3820.472154	2658.298663	512	-8.590750994
12900	2.540472217	-49505.19845	22860.43925	4009.735351	-129648.277	-3093.377397	2691.967488	512	-1.109128218
13000	2.575342485	-50994.15012	23174.21935	3888.448703	-129640.9789	-3590.722885	2767.071226	512	-1.647951923
13100	2.523508508	-51082.12316	22707.79131	3849.314786	-129657.9983	-3367.693257	2568.047955	512	-9.314160302
13200	2.556289013	-52728.00671	23002.76669	3956.639668	-129670.7563	-3062.342052	2574.043056	512	0.1127695157
13300	2.517999291	-52702.46554	22658.21662	3749.32583	-129655.9035	-3583.796285	2536.615154	512	-7.18684108
13400	2.512015214	-53082.60663	22604.36891	3837.432761	-129663.3952	-3179.909415	2619.109569	512	-5.09860715
13500	2.535180509	-54010.92119	22812.82181	3890.571238	-129651.6502	-3122.390889	2527.591612	512	-9.442388618
13600	2.563819342	-54318.37973	23070.52835	3812.57073	-129660.4311	-3326.283724	2544.386486	512	-7.554111319
13700	2.479716012	-53837.23575	22313.72454	3774.218314	-129658.0264	-3848.621516	2615.579055	512	-6.238528514
13800	2.477109986	-53597.33495	22290.27421	3889.681765	-129664.0559	-3338.095445	2675.313532	512	-2.31097801
13900	2.492064584	-54007.5088	22424.84316	4009.302125	-129650.6921	-3308.334317	2699.005896	512	-7.888080443
14000	2.530213095	-54595.99817	22768.12254	4041.94543	-129630.2693	-3443.12423	2667.324242	512	-2.736020321
14100	2.532221509	-54034.05094	22786.19525	3934.735259	-129652.2828	-3607.683111	2693.100849	512	3.745707932
14200	2.54111124	-53646.5094	22866.18949	4111.812354	-129668.4001	-3549.173782	2653.695696	512	-2.414349628
14300	2.586944702	-54186.63786	23278.6219	4046.887001	-129662.9889	-3471.340454	2702.467674	512	5.226480086
14400	2.569155049	-53836.80274	23118.54171	4211.814783	-129659.8206	-3628.921989	2700.294446	512	4.487128693
14500	2.612871488	-53418.0731	23511.92409	4145.04598	-129645.5494	-3555.734525	2791.254402	512	1.415709272
14600	2.674537495	-53497.47859	24066.82565	4073.609373	-129644.2659	-3650.825077	2796.727979	512	2.695439345
14700	2.68265448	-53488.85051	24139.86634	4306.743784	-129647.3628	-3884.694339	2823.688844	512	-7.643616491
14800	2.699754215	-53308.13179	24293.7383	4329.18566	-129666.5822	-3480.499048	2895.474186	512	6.504387005
14900	2.75226071	-53244.86219	24766.21799	4186.228224	-129657.4827	-3400.052859	2833.780895	512	4.149736299
15000	2.693953308	-52217.59512	24241.53884	4245.373954	-129657.2739	-3935.250723	3011.62716	512	-0.2738939755
15100	2.699021077	-52288.75717	24287.14116	4387.146301	-129658.9716	-4279.727769	2892.768155	512	0.8905143139
15200	2.751693966	-52482.91832	24761.11815	4311.720125	-129665.589	-3958.771426	2773.688187	512	-3.139858683
15300	2.734914453	-51900.78727	24610.1277	4353.728122	-129650.7245	-4379.691734	2900.811151	512	1.166037942
15400	2.723865841	-52127.23007	24510.70677	4286.175692	-129658.0446	-4799.294354	3045.606157	512	-3.835148367
15500	2.746719468	-52136.13904	24716.35514	4324.417657	-129652.45	-3853.55748	2932.372943	512	-2.892308171
