timestep	temperature	potential_energy	kinetic_energy	bond_harmonic_energy	pppm_energy	pair_lj_energy	angle_harmonic_energy	volume	pressure
0	0	908615.6025	0	24618.38887	-129747.3141	166713.2071	717189.4135	512	743.9407512
100	38.83833735	181140.2953	349486.7786	78943.41735	-129519.7855	-3641.92311	108869.2418	512	-435.5452681
200	8.849291326	82513.96825	79630.348	66703.29948	-129604.6003	-5290.987912	33042.68734	512	603.1451113
300	3.414813488	-3229.115457	30728.19917	12331.85584	-129670.7511	-3235.296967	11290.71822	512	-210.4478721
400	1.034054589	-26701.11618	9304.940222	2557.45712	-129696.5458	-1377.021037	5575.731364	512	-69.8154455
500	0.5073719684	-38890.6535	4565.586658	2207.490007	-129695.0825	-285.9352142	896.9369082	512	-2.847075686
600	0.2696618647	-44818.03321	2426.55229	1367.877522	-129692.7777	981.7339502	650.4471532	512	-16.05478907
700	0.1873769951	-48703.09025	1686.111891	1290.358677	-129697.8281	1815.877769	271.6532129	512	-24.43467835
800	0.1329643293	-51214.49387	1196.479517	1337.691347	-129697.4931	2143.580019	254.6795239	512	-20.24368826
900	0.1044277449	-53252.34449	939.6930626	1390.498913	-129695.4396	2477.184323	268.8860815	512	-16.87898373
1000	0.09488377353	-55177.71042	853.8116361	1457.728021	-129695.4644	2782.403489	242.6702397	512	-18.54846911
1100	0.08874785289	-56909.69637	798.5975542	1535.278803	-129690.3276	3136.620909	250.1306019	512	-17.89507349
1200	0.07900212429	-58010.85854	710.9006155	1592.326552	-129689.0706	3380.850512	255.5652337	512	-16.1666527
1300	0.06812103758	-59258.76399	612.9871567	1643.54635	-129688.9993	3556.785786	252.5276166	512	-16.8000878
1400	0.05893738499	-60224.00281	530.3480588	1687.50329	-129689.0795	3756.472204	254.292265	512	-16.40969988
1500	0.05852025544	-61042.90112	526.5945185	1723.125099	-129686.2315	3855.021142	260.8428691	512	-16.02384276
1600	0.06210068144	-61910.75728	558.8129819	1761.519148	-129682.1991	3983.199469	265.5318421	512	-15.87912298
1700	0.05419276267	-62506.8372	487.6535749	1794.27126	-129683.4237	4038.178267	264.0388454	512	-15.72297572
1800	0.0531195519	-63340.07896	477.9962877	1831.606829	-129685.745	4257.518121	266.9134564	512	-14.70965481
1900	0.05170468127	-63796.42852	465.2645744	1866.673197	-129684.5278	4415.783357	266.7583478	512	-13.365416
2000	0.04715560033	-64449.33436	424.3296696	1877.457279	-129684.2205	4326.993297	270.2507592	512	-14.81861407
2100	0.05408148482	-65139.27273	486.6522412	1909.523865	-129684.5671	4438.640006	269.3659272	512	-14.55974462
