timestep	temperature	potential_energy	kinetic_energy	bond_harmonic_energy	pppm_energy	pair_lj_energy	angle_harmonic_energy	volume	pressure
100000	2.141248931	-70094.58406	19268.02851	7007.251717	-129654.5867	-4294.751979	2500.766754	512	-2.439284365
100100	2.122700434	-70154.85035	19101.11986	6896.211571	-129679.2507	-4735.973305	2540.846762	511.9718701	1.814479029
100200	2.101755784	-70486.92374	18912.64942	7036.206277	-129657.9749	-5175.829525	2547.504243	511.8422451	4.625823844
100300	2.102092253	-70038.78876	18915.67714	7096.624675	-129671.5354	-4673.915459	2439.268224	511.6439052	1.514373975
100400	2.078541551	-69431.24883	18703.75615	6944.693249	-129684.9801	-4844.885719	2579.739163	511.4007961	-4.337584041
100500	2.115285122	-69915.46705	19034.39317	6968.985164	-129647.9509	-5009.671627	2617.11237	511.10363	-2.591419469
100600	2.110991676	-70729.25075	18995.75859	6856.131299	-129654.7667	-5016.670427	2519.143327	510.7667145	-0.4149642008
100700	2.114752571	-70012.8757	19029.60101	6946.933097	-129641.1249	-4978.820708	2527.19365	510.3768802	-5.906674146
100800	2.104859596	-70164.26422	18940.57908	6872.487235	-129661.3697	-4685.280436	2660.890351	509.9461303	-3.705033037
100900	2.086542719	-70445.96852	18775.75466	7075.20567	-129672.2482	-5055.843721	2537.211833	509.4753277	-7.142935993
101000	2.084260451	-70193.84572	18755.21767	6952.846316	-129661.9737	-5048.902982	2588.236819	508.9225453	4.066449102
101100	2.079892987	-70094.44706	18715.91704	6869.572931	-129672.6763	-4669.627951	2515.623157	508.3357866	-0.2867973559
101200	2.082680767	-69747.68987	18741.00288	6869.548348	-129666.2962	-4839.761507	2563.849452	507.71375	-5.143645986
101300	2.093869128	-70943.75591	18841.68135	6994.133909	-129671.4142	-4966.15767	2518.721	507.0124599	-11.00176503
101400	2.060793727	-70167.36076	18544.05235	6800.18933	-129660.271	-4644.266335	2463.693698	506.2207326	3.657001764
101500	2.069741448	-70086.66293	18624.56842	6944.289384	-129676.361	-5059.529755	2510.34823	505.3797069	1.901806856
101600	2.076520593	-70600.17166	18685.57056	6900.631822	-129660.8973	-4628.357783	2331.10851	504.4871957	-4.343599602
101700	2.066017288	-70480.97521	18591.05656	7022.767967	-129662.9045	-4732.792772	2567.384474	503.5324825	-10.22982284
101800	2.054125877	-70963.73769	18484.0517	6739.701092	-129669.306	-4814.730196	2509.01835	502.4878223	-3.560937424
101900	2.046984811	-70971.83662	18419.79282	6888.883866	-129675.1222	-5039.909877	2462.224672	501.3418247	-10.83682565
102000	2.086075066	-70606.75774	18771.54648	6880.303169	-129661.6871	-4735.646986	2357.475648	500.0970457	-8.078239157
102100	2.075189379	-70454.50241	18673.59163	7095.093574	-129660.1718	-4601.051719	2514.11936	498.7382246	-7.060548684
102200	2.091331616	-70430.76294	18818.84754	6814.760859	-129673.6151	-4808.391565	2420.721534	497.3161816	3.435751732
